age;d13C;author
0.167;-0.53;
0.169;-0.33;
0.171;-0.3;
0.172;-0.36;
0.174;-0.82;
0.176;-0.47;
0.179;-0.42;
0.182;0.26;
0.184;-0.35;
0.185;-0.25;
0.188;0.02;
0.191;0.28;
0.194;0.56;
0.199;0.57;
0.204;0.37;
0.212;0.68;
0.214;0.67;
0.219;-0.22;
0.222;-0.31;
0.225;-0.1;
0.228;0.02;
0.229;-0.08;
0.233;0.23;
0.234;0.34;
0.236;0.15;
0.237;0.22;
0.239;0.4;
0.241;0.06;
0.242;0.15;
0.244;-0.04;
0.246;0.25;
0.248;-0.28;
0.249;-0.22;
0.251;0.03;
0.252;0.1;
0.254;-0.07;
0.256;-0.2;
0.257;0.44;
0.259;0.12;
0.262;-0.17;
0.264;-0.35;
0.266;-0.11;
0.267;-0.37;
0.269;-0.22;
0.27;-0.37;
0.271;-0.5;
0.273;-0.81;
0.274;-0.46;
0.276;-0.56;
0.278;-0.28;
0.279;0.09;
0.281;-0.31;
0.282;-0.09;
0.283;-0.02;
0.285;0.11;
0.286;0.03;
0.287;0.14;
0.288;0.01;
0.29;-0.06;
0.291;-0.32;
0.293;-0.23;
0.295;-0.26;
0.297;-0.48;
0.298;-0.35;
0.3;0.34;
0.3;0.1;
0.302;-0.12;
0.303;-0.09;
0.305;-0.22;
0.307;0.42;
0.31;0.47;
0.315;0.38;
0.318;0.02;
0.32;0.56;
0.321;0.46;
0.322;0.26;
0.324;0.3;
0.325;0.51;
0.326;0.54;
0.328;0.59;
0.33;-0.03;
0.331;0.24;
0.333;0.09;
0.335;-0.37;
0.336;-0.48;
0.337;-0.64;
0.338;-0.93;
0.339;-0.76;
0.34;-0.19;
0.341;-0.45;
0.342;-0.27;
0.343;-0.18;
0.344;-0.35;
0.344;-0.06;
0.345;-0.11;
0.346;-0.07;
0.347;-0.4;
0.348;-0.25;
0.349;-0.62;
0.35;-0.5;
0.351;-0.3;
0.351;0.3;
0.352;0.2;
0.352;0.19;
0.353;0.18;
0.353;0.15;
0.354;0.55;
0.355;0.26;
0.355;0.46;
0.356;0.25;
0.356;0.33;
0.357;0.68;
0.357;0.29;
0.358;0.7;
0.359;0.14;
0.359;0.61;
0.36;0.06;
0.36;0.43;
0.361;0.39;
0.362;0.14;
0.362;0.14;
0.363;0.13;
0.364;0.38;
0.364;-0.29;
0.365;0.49;
0.366;-0.13;
0.367;0.24;
0.367;0.25;
0.368;0.3;
0.368;0.2;
0.369;-0.21;
0.37;0.12;
0.371;0.13;
0.372;-0.16;
0.373;-0.28;
0.374;0.11;
0.375;-0.05;
0.376;0.07;
0.377;0.16;
0.377;0;
0.379;0.03;
0.379;0.28;
0.38;-0.15;
0.381;0.16;
0.381;0.33;
0.382;-0.08;
0.382;0.06;
0.383;0.23;
0.383;0.52;
0.384;0.14;
0.385;0.77;
0.386;0.29;
0.387;0.08;
0.388;0.63;
0.389;0.34;
0.39;0.43;
0.39;0.55;
0.392;0.18;
0.393;0.85;
0.394;0.59;
0.395;0.83;
0.396;0.81;
0.397;0.7;
0.398;0.89;
0.399;0.6;
0.399;0.92;
0.4;0.88;
0.401;0.93;
0.402;0.84;
0.402;0.98;
0.403;1;
0.404;0.94;
0.404;0.93;
0.405;0.77;
0.406;1;
0.406;0.85;
0.407;0.95;
0.407;0.73;
0.407;0.78;
0.408;0.89;
0.408;0.77;
0.409;0.84;
0.409;0.77;
0.409;0.87;
0.41;0.81;
0.41;0.85;
0.411;0.7;
0.411;0.53;
0.411;0.36;
0.412;0.71;
0.412;0.35;
0.412;0.42;
0.413;0.4;
0.413;0.56;
0.414;0.36;
0.414;0.54;
0.415;0.55;
0.416;0.32;
0.417;0.1;
0.417;0.35;
0.419;0.1;
0.419;-0.15;
0.419;0.11;
0.42;-0.06;
0.421;0.11;
0.421;0.21;
0.423;0.2;
0.424;0.14;
0.425;0.13;
0.426;-0.03;
0.427;-0.08;
0.429;-0.32;
0.43;-0.52;
0.431;-0.75;
0.432;-0.68;
0.434;-0.8;
0.435;-0.72;
0.436;-0.59;
0.436;-0.24;
0.437;-0.48;
0.438;-0.38;
0.439;-0.01;
0.439;-0.62;
0.44;-0.23;
0.441;-0.38;
0.441;-0.38;
0.442;-0.41;
0.443;-0.48;
0.443;-0.17;
0.444;-0.3;
0.445;-0.33;
0.446;-0.76;
0.446;-0.47;
0.447;-0.25;
0.448;-0.29;
0.448;-0.1;
0.449;-0.21;
0.45;-0.14;
0.45;-0.28;
0.451;-0.23;
0.451;-0.22;
0.452;-0.39;
0.452;0.1;
0.453;0.09;
0.454;-0.05;
0.454;-0.31;
0.455;-0.18;
0.456;-0.02;
0.456;-0.17;
0.457;-0.34;
0.457;-0.47;
0.458;0.12;
0.459;-0.36;
0.46;-0.25;
0.46;-0.48;
0.461;-0.25;
0.462;-0.11;
0.462;-0.05;
0.463;0.12;
0.464;-0.18;
0.465;0.1;
0.465;-0.14;
0.466;-0.3;
0.467;0.35;
0.467;-0.18;
0.468;-0.11;
0.469;-0.05;
0.469;-0.32;
0.47;0.16;
0.471;0.36;
0.471;0.14;
0.472;0.04;
0.473;0.42;
0.474;0.33;
0.474;0.19;
0.475;0.33;
0.475;0.42;
0.476;0.42;
0.477;0.63;
0.477;0.59;
0.478;0.39;
0.479;0.67;
0.479;1.04;
0.48;0.82;
0.48;0.71;
0.481;0.8;
0.481;0.84;
0.482;0.99;
0.483;0.89;
0.484;0.85;
0.486;0.8;
0.486;0.71;
0.488;0.84;
0.489;0.82;
0.49;0.97;
0.491;0.93;
0.492;1.03;
0.493;0.89;
0.494;0.77;
0.496;1.1;
0.497;0.73;
0.498;0.68;
0.5;1;
0.501;0.64;
0.503;1.01;
0.504;0.92;
0.506;0.7;
0.508;0.54;
0.51;0.68;
0.512;0.66;
0.513;0.92;
0.514;0.6;
0.516;0.26;
0.518;0.5;
0.52;0.2;
0.522;0.54;
0.523;0.33;
0.525;0.37;
0.528;0.25;
0.529;-0.24;
0.531;-0.44;
0.533;-0.18;
0.534;-0.23;
0.536;-0.54;
0.537;-0.3;
0.539;-0.68;
0.541;-0.36;
0.542;-0.65;
0.544;-0.73;
0.546;-0.13;
0.547;-0.36;
0.549;-0.28;
0.551;-0.17;
0.552;-0.23;
0.555;0.23;
0.557;0.16;
0.56;0.19;
0.563;0.16;
0.566;0.61;
0.569;0.22;
0.571;0.21;
0.573;0.16;
0.575;0.3;
0.578;0.32;
0.579;0.1;
0.582;0.1;
0.586;0.2;
0.588;0.4;
0.592;0.07;
0.594;-0.03;
0.595;0.36;
0.597;-0.03;
0.599;-0.03;
0.601;-0.14;
0.602;-0.07;
0.605;0.22;
0.606;0.01;
0.608;-0.07;
0.61;0.03;
0.611;0.07;
0.613;-0.01;
0.615;-0.24;
0.617;0.15;
0.621;0.4;
0.622;0.22;
0.625;0;
0.628;-0.16;
0.63;-0.13;
0.632;-0.16;
0.634;-0.29;
0.637;-0.01;
0.639;-0.2;
0.642;-0.25;
0.645;-0.6;
0.648;-0.18;
0.65;-0.39;
0.653;-0.09;
0.655;-0.46;
0.658;-0.4;
0.66;-0.11;
0.662;-0.24;
0.664;-0.05;
0.666;-0.34;
0.668;-0.2;
0.671;-0.15;
0.673;-0.19;
0.674;0.06;
0.676;-0.1;
0.678;-0.15;
0.681;-0.02;
0.683;0.14;
0.685;0.66;
0.686;0.33;
0.689;0.47;
0.691;0.72;
0.694;0.71;
0.698;0.71;
0.701;-0.08;
0.706;0.47;
0.71;0.4;
0.714;0.18;
0.718;0.2;
0.723;0.05;
0.727;0.3;
0.73;0.02;
0.735;-0.02;
0.739;-0.05;
0.744;-0.31;
0.748;-0.41;
0.752;-0.18;
0.755;-0.09;
0.758;0.05;
0.761;0.37;
0.763;0.26;
0.766;0.15;
0.769;0.28;
0.771;0.53;
0.774;0.49;
0.777;0.28;
0.78;0.37;
0.782;0.3;
0.785;0;
0.787;-0.2;
0.789;-0.55;
0.792;-0.17;
0.794;-0.65;
0.797;-0.26;
0.8;-0.25;
0.802;-0.3;
0.805;-0.28;
0.808;0.06;
0.81;0.11;
0.814;0.52;
0.817;0.28;
0.822;0.37;
0.826;0.29;
0.831;-0.26;
0.836;0.28;
0.84;0.2;
0.845;0.15;
0.848;0.44;
0.852;0.41;
0.856;0.32;
0.86;0.17;
0.862;0.27;
0.864;-0.11;
0.866;-0.29;
0.871;-0.56;
0.874;-0.25;
0.878;0.06;
0.882;-0.04;
0.885;-0.02;
0.887;-0.21;
0.89;-0.42;
0.891;-0.34;
0.894;-0.09;
0.896;0.38;
0.899;0.03;
0.901;0.12;
0.903;-0.04;
0.906;-0.28;
0.909;-0.03;
0.912;-0.13;
0.917;-0.35;
0.92;0.34;
0.923;0.15;
0.927;-0.24;
0.931;0.33;
0.935;0.04;
0.937;0.36;
0.939;0.33;
0.942;0.5;
0.946;0.37;
0.949;0.55;
0.952;0.32;
0.954;0.47;
0.957;0.11;
0.959;0.17;
0.961;0.44;
0.965;0.42;
0.968;0.39;
0.971;0.35;
0.974;0.4;
0.976;0.66;
0.979;0.23;
0.982;0.68;
0.983;0.27;
0.987;0.33;
0.993;0.38;
0.997;0.22;
1.002;0.32;
1.006;0.22;
1.011;0.48;
1.014;0.05;
1.019;0.22;
1.024;0.42;
1.027;0.08;
1.032;0.14;
1.036;0.46;
1.038;0.32;
1.044;-0.02;
1.048;-0.13;
1.051;-0.31;
1.053;-0.37;
1.057;-0.17;
1.06;0.32;
1.064;0.55;
1.068;0.49;
1.072;0.33;
1.075;0.45;
1.079;0.57;
1.082;0.28;
1.086;-0.05;
1.09;0.01;
1.094;0.23;
1.098;0.32;
1.101;0.21;
1.104;0.17;
1.107;-0.03;
1.113;-0.31;
1.119;0.13;
1.124;-0.04;
1.131;0.04;
1.134;0.19;
1.138;0.18;
1.143;-0.07;
1.146;0.37;
1.152;0.07;
1.155;0.4;
1.161;0.25;
1.166;0.47;
1.17;0.39;
1.176;0.37;
1.185;0.13;
1.191;0.05;
1.197;0.31;
1.207;0.47;
1.216;0.16;
1.221;0.25;
1.228;0.13;
1.234;-0.15;
1.239;-0.37;
1.245;-0.09;
1.251;0.53;
1.253;0.41;
1.255;0.63;
1.258;0.68;
1.26;0.18;
1.262;0.27;
1.264;0.43;
1.267;0.24;
1.269;0.48;
1.271;0.31;
1.274;0.26;
1.278;0.15;
1.28;0.46;
1.283;0.33;
1.285;0.41;
1.288;0.42;
1.29;0.93;
1.292;0.66;
1.295;0.41;
1.297;0.59;
1.3;0.27;
1.306;0.15;
1.311;-0.14;
1.318;-0.13;
1.326;0.19;
1.334;0.23;
1.34;0.19;
1.345;0.07;
1.35;0.09;
1.355;-0.2;
1.361;-0.04;
1.37;0.34;
1.377;0.45;
1.385;0.42;
1.391;0.24;
1.396;0.11;
1.401;0.39;
1.406;0.17;
1.411;0.3;
1.416;0.46;
1.419;0.48;
1.424;0.17;
1.428;0.34;
1.432;0.48;
1.436;0.37;
1.439;0.44;
1.443;0.38;
1.447;0.16;
1.453;0.49;
1.458;0.42;
1.464;0.53;
1.469;0.55;
1.473;0.66;
1.479;0.44;
1.484;0.44;
1.488;0.28;
1.494;0.57;
1.5;0.34;
1.506;0.5;
1.51;0.54;
1.515;0.59;
1.519;0.57;
1.526;-0.09;
1.533;0.18;
1.539;0.08;
1.546;0.42;
1.55;0.2;
1.555;0.54;
1.559;0.32;
1.563;0.36;
1.567;0.22;
1.571;0.14;
1.577;0.42;
1.58;0.29;
1.585;0.58;
1.59;0.51;
1.595;0.76;
1.599;0.61;
1.605;0.47;
1.611;0.6;
1.615;0.46;
1.62;0.59;
1.623;0.7;
1.627;0.52;
1.633;0.88;
1.637;0.51;
1.643;0.74;
1.646;0.46;
1.651;0.32;
1.654;0.27;
1.662;0.21;
1.669;0.09;
1.672;0.23;
1.678;0.72;
1.684;0.54;
1.689;0.43;
1.693;0.17;
1.695;0.38;
1.7;0.11;
1.705;0.23;
1.71;0.25;
1.716;0.51;
1.723;0.48;
1.728;0.69;
1.735;0.34;
1.74;0.22;
1.743;0.44;
1.748;0.31;
1.754;0.17;
1.757;0.18;
1.76;0.11;
1.764;0.61;
1.768;0.45;
1.773;0.61;
1.777;0.66;
1.781;0.63;
1.784;0.48;
1.787;0.22;
1.791;0.15;
1.795;0.33;
1.801;0.66;
1.804;0.22;
1.808;0.32;
1.812;0.18;
1.817;0.58;
1.822;0.34;
1.828;0.22;
1.833;0.21;
1.838;0.25;
1.842;0.67;
1.849;0.25;
1.854;0.47;
1.86;0.49;
1.863;0.28;
1.868;0.22;
1.871;0.43;
1.876;0.77;
1.88;0.57;
1.884;0.61;
1.889;0.42;
1.894;0.6;
1.9;0.38;
1.906;0.36;
1.91;0.19;
1.916;0.08;
1.921;0.22;
1.926;0.33;
1.935;0.21;
1.939;0.41;
1.944;0.05;
1.949;-0.17;
1.956;0;
1.961;-0.07;
1.967;0.34;
1.97;0.11;
1.974;0.17;
1.98;-0.16;
1.986;-0.37;
1.99;-0.06;
1.995;0.07;
2;0.07;
2.006;0.07;
2.011;0.31;
2.018;0.4;
2.026;-0.23;
2.031;0.03;
2.035;0.06;
2.04;0.29;
2.05;0.67;
2.055;0.13;
2.06;0.35;
2.071;0.09;
2.081;0.04;
2.092;-0.27;
2.098;0.42;
2.108;0.39;
2.116;-0.04;
2.125;-0.09;
2.13;-0.2;
2.142;-0.01;
2.15;-0.32;
2.157;-0.36;
2.165;-0.17;
2.171;0.02;
2.175;0.03;
2.181;0.27;
2.184;0.04;
2.189;-0.17;
2.195;-0.11;
2.201;-0.04;
2.208;0.05;
2.212;0.05;
2.221;0.17;
2.229;0.33;
2.239;0.16;
2.25;-0.07;
2.258;0.36;
2.263;0.27;
2.271;0.24;
2.279;0.08;
2.289;0.34;
2.296;0.34;
2.303;0.53;
2.309;0.46;
2.318;0.26;
2.326;0.03;
2.335;0.26;
2.343;-0.15;
2.353;0.1;
2.361;0.25;
2.374;0.84;
2.388;0.02;
2.397;-0.1;
2.404;0.15;
2.41;0.18;
2.416;0.25;
2.424;0.24;
2.43;0.01;
2.436;-0.17;
2.444;-0.09;
2.451;0.1;
2.456;0.15;
2.466;0.25;
2.472;0.05;
2.476;-0.1;
2.483;-0.16;
2.489;0.09;
2.496;0.46;
2.506;0.19;
2.511;-0.3;
2.515;-0.1;
2.519;-0.35;
2.522;0.02;
2.529;0.18;
2.538;0.35;
2.549;0.32;
2.559;0.36;
2.567;0.25;
2.577;0.24;
2.586;0.1;
2.594;0.02;
2.603;0.03;
2.61;0.25;
2.622;0.36;
2.629;0.1;
2.636;0.09;
2.643;0.11;
2.65;0.19;
2.661;0.28;
2.675;0.52;
2.683;0.25;
2.691;0.27;
2.7;-0.01;
2.706;0.04;
2.715;-0.13;
2.722;-0.11;
2.732;0.18;
2.738;0.31;
2.742;0.52;
2.75;0.26;
2.759;0.36;
2.782;0.43;
2.808;0.14;
2.822;0.4;
2.832;0.25;
2.842;0.2;
2.848;0.34;
2.859;0.65;
2.874;0.61;
2.884;0.51;
2.895;0.6;
2.905;0.25;
2.914;0.33;
2.921;0.21;
2.934;0.65;
2.948;0.2;
2.953;0.38;
2.967;0.39;
2.981;0.16;
2.994;0.24;
3.008;0.47;
3.017;0.27;
3.031;0.28;
3.043;0.26;
3.064;0.48;
3.074;0.38;
3.083;0.38;
3.095;0.23;
3.108;0.48;
3.119;0.3;
3.131;0.03;
3.136;0.28;
3.145;0.22;
3.153;0.22;
3.167;0.32;
3.176;0.46;
3.184;0.54;
3.187;0.55;
3.189;0.53;
3.193;0.67;
3.196;0.46;
3.199;0.45;
3.201;0.78;
3.203;0.56;
3.207;0.79;
3.21;0.61;
3.214;0.69;
3.218;0.6;
3.22;0.56;
3.223;0.69;
3.227;0.49;
3.23;0.6;
3.233;0.53;
3.235;0.61;
3.24;0.55;
3.243;0.58;
3.246;0.69;
3.25;0.54;
3.255;0.61;
3.26;0.57;
3.263;0.62;
3.271;0.55;
3.285;0.47;
3.296;0.18;
3.311;0.34;
3.324;0.6;
3.33;0.58;
3.342;0.51;
3.351;0.66;
3.362;0.37;
3.373;0.57;
3.383;0.24;
3.39;0.43;
3.399;0.39;
3.404;0.44;
3.415;0.45;
3.426;0.6;
3.439;0.51;
3.447;0.68;
3.463;0.75;
3.479;0.73;
3.49;0.74;
3.506;0.86;
3.522;0.8;
3.532;0.73;
3.548;0.69;
3.564;0.75;
3.579;0.77;
3.59;0.81;
3.602;0.53;
3.616;0.73;
3.626;0.86;
3.635;0.78;
3.645;0.47;
3.658;0.71;
3.675;0.69;
3.685;0.66;
3.695;0.74;
3.705;0.77;
3.719;0.56;
3.727;0.55;
3.744;0.32;
3.754;0.84;
3.773;0.73;
3.783;0.67;
3.801;0.8;
3.806;0.65;
3.821;0.72;
3.831;0.64;
3.842;0.45;
3.859;0.66;
3.87;0.58;
3.882;0.63;
3.896;0.74;
3.908;0.72;
3.921;0.62;
3.94;0.56;
3.951;0.6;
3.96;0.49;
3.968;0.79;
3.977;0.62;
3.987;0.48;
4;0.6;
4.011;0.41;
4.023;0.77;
4.038;0.6;
4.048;0.45;
4.059;0.64;
4.069;0.72;
4.089;0.57;
4.098;0.7;
4.107;0.54;
4.114;0.65;
4.128;0.42;
4.138;0.68;
4.144;0.54;
4.153;0.76;
4.162;0.67;
4.171;0.46;
4.18;0.6;
4.187;0.55;
4.2;0.69;
4.214;0.51;
4.225;0.44;
4.234;0.55;
4.244;0.53;
4.257;0.51;
4.269;0.59;
4.279;0.64;
4.29;0.59;
4.3;0.54;
4.315;0.7;
4.325;0.48;
4.341;0.42;
4.351;0.51;
4.361;0.63;
4.374;0.59;
4.397;0.46;
4.412;0.71;
4.432;0.69;
4.452;0.66;
4.473;0.67;
4.486;0.79;
4.503;0.61;
4.523;0.53;
4.535;0.53;
4.562;0.65;
4.582;0.69;
4.595;0.28;
4.606;0.42;
4.621;0.5;
4.642;0.47;
4.657;0.35;
4.668;0.36;
4.681;0.35;
4.689;0.1;
4.705;0.49;
4.719;0.64;
4.748;0.53;
4.768;0.5;
4.789;0.51;
4.81;0.53;
4.841;0.61;
4.864;0.57;
4.889;0.35;
4.925;0.52;
4.947;0.56;
4.968;0.65;
4.986;0.56;
5.007;0.63;
5.016;0.71;
5.04;0.72;
5.057;0.72;
5.083;0.5;
5.104;0.61;
5.141;0.83;
5.165;0.69;
5.182;0.75;
5.197;0.84;
5.227;0.92;
5.254;0.77;
5.285;0.89;
5.306;0.86;
5.341;0.78;
5.367;0.53;
5.394;0.59;
5.428;0.76;
5.456;0.93;
5.483;0.66;
5.501;0.98;
5.524;0.94;
5.547;1;
5.559;0.24;
5.572;0.23;
5.585;0.63;
5.602;0.59;
5.62;0.54;
5.626;0.56;
5.644;0.3;
5.654;0.41;
5.664;0.54;
5.682;0.55;
5.703;0.87;
5.717;0.44;
5.73;0.79;
5.756;0.6;
5.776;1.06;
5.799;0.86;
5.824;0.64;
5.846;0.85;
5.857;0.59;
5.868;0.59;
5.877;0.12;
5.882;0.56;
5.89;0.02;
5.895;0.63;
5.92;0.61;
5.939;-0.23;
5.942;-0.42;
5.946;-0.22;
5.95;-0.09;
5.952;-0.19;
5.96;0.26;
5.978;0.27;
5.992;0.73;
6.007;0.33;
6.019;0.85;
6.037;0.71;
6.057;0.64;
6.071;0.39;
6.088;0.18;
6.106;0.55;
6.118;0.75;
6.13;0.65;
6.143;0.45;
6.155;0.92;
6.167;0.29;
6.178;0.62;
6.187;0.4;
6.193;0.35;
6.203;0.56;
6.216;0.39;
6.228;0.55;
6.238;0.43;
6.252;0.6;
6.264;0.55;
6.289;0.82;
6.312;0.72;
6.326;0.93;
6.35;0.72;
6.375;0.68;
6.398;0.74;
6.423;0.81;
6.438;0.91;
6.463;0.93;
6.493;0.77;
6.507;0.78;
6.538;0.85;
6.563;0.89;
6.577;0.75;
6.616;0.84;
6.645;0.7;
6.662;0.66;
6.676;0.88;
6.691;0.78;
6.706;0.83;
6.733;0.42;
6.747;0.62;
6.759;0.33;
6.775;0.66;
6.803;0.77;
6.818;0.69;
6.829;0.38;
6.842;0.52;
6.86;0.45;
6.894;0.75;
6.915;0.71;
6.928;0.87;
6.945;0.93;
6.973;0.62;
7;0.72;
7.03;0.59;
7.038;0.94;
7.064;1.04;
7.089;1.02;
7.115;0.87;
7.14;1.08;
7.157;0.95;
7.171;0.8;
7.19;0.89;
7.206;1.05;
7.223;0.27;
7.233;0.07;
7.247;0.44;
7.261;0.48;
7.275;0.7;
7.286;0.28;
7.294;0.56;
7.323;1.05;
7.354;0.94;
7.433;0.79;
7.481;0.72;
7.522;0.87;
7.542;0.97;
7.571;0.99;
7.605;0.94;
7.642;0.91;
7.658;0.9;
7.672;0.84;
7.687;0.99;
7.714;0.75;
7.772;0.73;
7.829;0.85;
7.868;0.72;
7.916;0.88;
7.954;1.01;
8.022;0.97;
8.092;0.58;
8.129;0.38;
8.191;0.63;
8.257;0.93;
8.292;1.06;
8.332;0.73;
8.38;0.77;
8.416;0.46;
8.438;0.68;
8.472;0.92;
8.549;1.08;
8.602;1.1;
8.664;1.13;
8.713;1.2;
8.78;1.14;
8.811;1.03;
8.854;1.15;
8.907;1.23;
8.96;1.17;
9.001;1.31;
9.027;1.18;
9.053;1.35;
9.085;1.18;
9.109;1.26;
9.157;1.03;
9.194;1.24;
9.226;1.3;
9.262;1.29;
9.301;1.15;
9.334;1.39;
9.363;1.19;
9.387;1.27;
9.418;1.17;
9.441;1.16;
9.466;1.13;
9.497;1.1;
9.538;1.08;
9.563;0.97;
9.609;0.98;
9.644;1.04;
9.67;0.96;
9.694;1.04;
9.722;1.14;
9.743;1.12;
9.769;0.98;
9.787;0.9;
9.855;1.02;
9.93;0.92;
9.998;1.02;
10.031;1.15;
10.09;1.05;
10.149;1.24;
10.184;1.05;
10.225;0.93;
10.266;0.85;
10.297;0.97;
10.325;0.87;
10.351;0.92;
10.384;0.86;
10.426;0.87;
10.468;1.02;
10.502;0.89;
10.544;0.79;
10.569;0.98;
10.63;0.83;
10.67;0.93;
10.731;0.74;
10.838;0.78;
10.889;0.89;
10.922;0.91;
10.99;0.81;
11.038;0.76;
11.07;0.85;
11.098;0.85;
11.112;0.83;
11.125;0.97;
11.143;0.93;
11.163;0.8;
11.181;0.86;
11.209;0.87;
11.236;0.94;
11.278;0.98;
11.309;1.2;
11.336;0.95;
11.362;1.12;
11.377;1.03;
11.407;1.17;
11.436;1.06;
11.472;1.17;
11.5;1.1;
11.545;1.02;
11.568;0.92;
11.581;1.03;
11.611;1.02;
11.64;1.13;
11.675;1.19;
11.701;1.21;
11.718;1.04;
11.744;1.06;
11.771;1.16;
11.789;1.04;
11.811;0.99;
11.831;1.06;
11.857;1.04;
11.875;0.9;
11.89;0.9;
11.91;1.08;
11.93;1.05;
11.962;0.97;
11.979;1.03;
11.996;0.98;
12.02;0.9;
12.037;0.83;
12.048;0.96;
12.07;0.77;
12.077;0.68;
12.091;0.74;
12.102;0.7;
12.116;0.8;
12.13;0.95;
12.147;0.95;
12.172;0.84;
12.205;1;
12.246;1.06;
12.295;0.88;
12.303;0.99;
12.363;1;
12.393;0.86;
12.424;1.02;
12.452;1.08;
12.48;1.13;
12.498;1.21;
12.535;1.14;
12.563;1.06;
12.588;1.15;
12.628;1.18;
12.673;0.93;
12.691;1.06;
12.702;1.01;
12.717;1.03;
12.742;1.09;
12.765;0.96;
12.774;1.04;
12.788;0.99;
12.796;1;
12.812;1.06;
12.827;0.93;
12.849;1.05;
12.861;0.99;
12.877;1.03;
12.885;0.9;
12.891;0.97;
12.904;0.9;
12.914;1;
12.921;1.03;
12.93;1.03;
12.939;1.03;
12.948;1.02;
12.956;1.05;
12.963;0.95;
12.972;0.98;
12.981;0.94;
12.986;0.99;
12.995;1.01;
13;1.06;
13.007;1.1;
13.008;1.08;
13.016;1.03;
13.03;1.04;
13.037;0.96;
13.052;1.18;
13.065;1.18;
13.08;1;
13.099;1.04;
13.136;1.12;
13.157;1.1;
13.183;1.11;
13.194;1.2;
13.222;1.13;
13.242;1.17;
13.263;1.17;
13.29;1.05;
13.31;1.21;
13.32;1.31;
13.349;1.22;
13.376;1.27;
13.396;1.25;
13.423;1.13;
13.442;1.23;
13.456;1.32;
13.478;1.31;
13.496;1.47;
13.523;1.39;
13.561;1.3;
13.587;1.53;
13.607;1.64;
13.622;1.63;
13.633;1.55;
13.639;1.53;
13.65;1.49;
13.667;1.69;
13.681;1.73;
13.689;1.59;
13.704;1.48;
13.717;1.46;
13.73;1.49;
13.746;1.59;
13.769;1.46;
13.781;1.44;
13.808;1.37;
13.824;1.46;
13.854;1.42;
13.882;1.34;
13.902;1.43;
13.928;1.35;
13.947;1.32;
13.974;1.43;
14.01;1.26;
14.033;1.35;
14.081;1.44;
14.11;1.38;
14.133;1.41;
14.174;1.41;
14.194;1.38;
14.222;1.56;
14.253;1.49;
14.283;1.41;
14.321;1.52;
14.354;1.46;
14.406;1.24;
14.432;1.31;
14.484;1.52;
14.524;1.23;
14.547;1.56;
14.599;1.21;
14.629;1.37;
14.666;1.41;
14.679;1.48;
14.712;1.5;
14.743;1.49;
14.775;1.45;
14.808;1.45;
14.838;1.57;
14.867;1.54;
14.89;1.57;
14.913;1.55;
14.937;1.62;
14.963;1.64;
14.986;1.37;
15.014;1.38;
15.033;1.28;
15.05;1.46;
15.078;1.47;
15.111;1.31;
15.142;1.36;
15.186;1.28;
15.211;1.6;
15.237;1.4;
15.263;1.33;
15.28;1.41;
15.297;1.46;
15.314;1.36;
15.331;1.27;
15.349;1.34;
